"ze";"cs1";"effectif_43plus";"effectif_55plus";"part_55plus_pct";"departs_55plus";"perte_seniors_pct";"sous_seuil"
"Bordeaux";"Ouvriers";44;22;50;21,1;48,1;FALSE
"Paris";"Ouvriers";35;17;48,6;16,1;46,1;FALSE
"Poitiers";"Ouvriers";31;15;48,4;14,2;45,9;FALSE
"Lille";"Employes";38;18;47,4;16,7;44,1;FALSE
"Évry";"Employes";25;12;48;11;43,9;FALSE
"Belfort";"Employes";40;19;47,5;17,4;43,6;FALSE
"Mulhouse";"Employes";23;11;47,8;10;43,4;FALSE
"Pau";"Employes";24;11;45,8;10,1;42,3;FALSE
"Tours";"Prof. intermediaires";33;15;45,5;13,8;41,8;FALSE
"Paris";"Employes";38;17;44,7;15,8;41,6;FALSE
"Marseille";"Ouvriers";33;14;42,4;13,7;41,5;FALSE
"Mulhouse";"Prof. intermediaires";32;15;46,9;13,1;41,1;FALSE
"Dijon";"Ouvriers";52;22;42,3;21,3;41;FALSE
"Cherbourg-en-Cotentin";"Employes";30;13;43,3;11,9;39,6;FALSE
"Nancy";"Ouvriers";66;27;40,9;26;39,4;FALSE
"Rennes";"Employes";29;12;41,4;11,4;39,2;FALSE
"Limoges";"Ouvriers";47;19;40,4;18;38,4;FALSE
"Versailles";"Employes";39;16;41;14,9;38,3;FALSE
"Tarbes";"Employes";26;11;42,3;9,9;38,1;FALSE
"Aix-en-Provence";"Ouvriers";47;19;40,4;17,9;38;FALSE
"Aix-en-Provence";"Prof. intermediaires";36;16;44,4;13,7;37,9;FALSE
"Tarbes";"Ouvriers";44;17;38,6;16,5;37,5;FALSE
"Lorient";"Ouvriers";54;21;38,9;20,1;37,1;FALSE
"Évry";"Ouvriers";42;16;38,1;15,4;36,6;FALSE
"Valenciennes";"Employes";29;12;41,4;10,6;36,4;FALSE
"Angoulême";"Ouvriers";42;16;38,1;15;35,8;FALSE
"Versailles";"Prof. intermediaires";39;17;43,6;13,9;35,7;FALSE
"Versailles";"Ouvriers";51;19;37,3;18,2;35,6;FALSE
"Lille";"Prof. intermediaires";38;15;39,5;13,5;35,5;FALSE
"Cherbourg-en-Cotentin";"Prof. intermediaires";46;18;39,1;15,9;34,6;FALSE
"Poitiers";"Cadres";40;17;42,5;13,8;34,4;FALSE
"Poitiers";"Employes";33;12;36,4;11,3;34,4;FALSE
"Nancy";"Prof. intermediaires";40;16;40;13,7;34,3;FALSE
"Nice";"Employes";30;11;36,7;10,2;34,2;FALSE
"Toulouse";"Prof. intermediaires";30;12;40;10,2;34,1;FALSE
"Tours";"Ouvriers";40;14;35;13,6;34,1;FALSE
"Douai";"Employes";31;11;35,5;10,4;33,5;FALSE
"Lille";"Cadres";43;20;46,5;14,4;33,4;FALSE
"Caen";"Ouvriers";46;16;34,8;15,3;33,3;FALSE
"Rouen";"Ouvriers";38;13;34,2;12,6;33,2;FALSE
"Dijon";"Employes";25;9;36;8,3;33,2;FALSE
"Dijon";"Prof. intermediaires";45;17;37,8;14,9;33,1;FALSE
"Bourges";"Employes";28;10;35,7;9,3;33,1;FALSE
"Mulhouse";"Ouvriers";29;10;34,5;9,5;32,6;FALSE
"Limoges";"Cadres";30;14;46,7;9,8;32,6;FALSE
"Tarbes";"Prof. intermediaires";52;18;34,6;16,8;32,3;FALSE
"Tours";"Employes";20;7;35;6,4;32,1;FALSE
"Cherbourg-en-Cotentin";"Ouvriers";39;13;33,3;12,5;32,1;FALSE
"Nantes";"Employes";NA;NA;NA;NA;NA;TRUE
"Toulon";"Ouvriers";33;11;33,3;10,4;31,6;FALSE
"Angoulême";"Employes";23;8;34,8;7,2;31,5;FALSE
"Lorient";"Employes";40;14;35;12,6;31,4;FALSE
"Belfort";"Prof. intermediaires";36;13;36,1;11,2;31,2;FALSE
"Tarbes";"Cadres";34;16;47,1;10,6;31,2;FALSE
"Nice";"Cadres";39;16;41;12,2;31,2;FALSE
"Douai";"Ouvriers";38;12;31,6;11,7;30,8;FALSE
"Bordeaux";"Employes";22;7;31,8;6,8;30,8;FALSE
"Nice";"Ouvriers";51;16;31,4;15,5;30,4;FALSE
"Valenciennes";"Prof. intermediaires";33;11;33,3;10;30,4;FALSE
"Caen";"Employes";28;9;32,1;8,4;30;FALSE
"Belfort";"Ouvriers";35;11;31,4;10,4;29,7;FALSE
"Brest";"Ouvriers";42;13;31;12,5;29,7;FALSE
"Valenciennes";"Ouvriers";39;12;30,8;11,5;29,4;FALSE
